ip,rfc1413,userid,requesttime,resource,statuscode,requestsize,referrer,useragent,Column10
200.200.200.130,-,-,[16/Oct/2023:21:17:34-0400],GET / HTTP/1.1,200,10975,-,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),
200.200.200.130,-,-,[16/Oct/2023:21:18:17-0400],GET / HTTP/1.1,200,11012,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:17-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:17-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:17-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:17-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:17-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:17-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:17-0400],GET /index.html HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:17-0400],GET / HTTP/1.0,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
